Treated1_PE,Treated2_PE,Treated3_PE,Treated4_PE,Untreated1_PE,Untreated2_PE,Untreated3_PE,Untreated4_PE
7.599825999999999,17.164451,19.14276,16.915879,7.968646,11.219169,7.22586,8.854700000000001
3.009462,4.01923,0,2.0076,0,4.01703,1,2.0051300000000003
234.29604,333.62146000000007,256.87676899999997,399.78293,406.40789000000007,568.7793644024,482.43438,398.30280000000005
0,0,0.806892,1.2784,1,0,0,0
12.10467,15.37654,9.01803,8.57014,7.59063,5.715161800000001,6.400281,5.26368
15.47931,8.73766,9.32527,13.8448,16.45088,15.9377,13.39326,17.04275
0,0,0,0,0,0,0,0
7.61997,16.47632,8.86735,16.05388,9.78979,9.228449999999999,7.460113,6.320712
0,0,1,1,0,0,0,1
0,0,0,5.09631e-8,0,0,0,0
1.0000004999999998,1,0,1,1,2.000003,1.500003,0
48.10359,59.962137,36.928033170000006,58.614999999999995,38.243857,44.37174,18.271237,20.788240000000002
431.97502,653.84127,453.52555,653.51358,139.5273,134.96346,136.20164,94.5213596125
6.93296,18.941399999999998,9.67867,21.31858,13.64852,47.442,16.01343,19.8783
0,0,0,0,0,0,0,0
116.64397,153.05666,95.16206,166.51922699999997,72.40691,91.33032299999999,60.21865,69.89301
1,0,1,0,0,0,0,0
1,0,0,0,0,2,0,1
90.938739448,110.95687999999998,89.15792971100001,168.8955,105.63070500000002,144.68798999999996,102.78658,73.790842
5,3.9999960000000003,3,2.000001,0,0,0,0
2.0000024,0.9999996999999999,0,0,0,1.0354067,1,1.0000005
32.000010163919,29.00001,33.000065085100005,54.000099999999996,46,66.99993,56.00004,52.999959999999994
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,1
14.288475787,14.534696,8.95062,22.473245799999997,10.522314,18.153969000000004,19.4338897,13.99999
0,0,0,0,0,0,0,0
3.00000000225,8.747660030100901,2,5.516234,3.0000050000000003,2,1.643257,1
38.892038,80.24690000000001,79.86883,99.3079642244,88.27524000000001,136.24871,95.99250558,49.389070000000004
80.00003000000001,111.999955,89.99997999999997,133.00006000000002,47,67.99991,56.999970000000005,60.00002
24.6518620889741,56.27747,51.99997,67.27767,62.90691,90.80261,90.01064999999998,67.81846
1,1,3,0,0,3,1,1
1,0.49303158982,7.000002,0.39785394751000003,0.6616254201,2.09288507233,2.17762e-6,8.72986e-6
12.335,4.28639,10.3419,18.7114,17.4324,26.8057,26.5881,29.2322
136.00006199999999,175.58486000000002,151.47045000000003,290.99973,90.00009,120.87683,53.44029999999999,96.99341
9.133391,65.81065000000001,39.747606000000005,30.88306,3.3491504519,37.001719,20.928919,2.14825
0,0,0,0,0,0,0,0
12.857739,20.929319999999997,15.595320000000001,12.068966,36.84973,74.32733,26.0468,9.4469000137212
0,0,0,1,0,0,0,0
0,1.57065,5.85652,5.42607,0.71898,0,2.88931e-5,16
0,0,0,0,0,0,0,0
0,0.407003,0,0,0,0,0,0
0,3.30357,0,2.19529,2.19514,1.10511,2.21564,3.36248
19.00004,27.000018,15.000029999999999,35.00002,2,4,4,2
43.735,56.402150000000006,37.8478,61.8926,46.000040000000006,50.72201,29.63089,39.630841
6.08798,14.856213,1.38241,4.82862,3.68132,4.22261849,1.870699,3.6808868963
0,0,0,0,0,0,0,0
37.595569999999995,42.770721,50.659479999999995,58.05041,11.831760000000001,50.06582,39.22597999999999,66.39702
249.00001000000003,311.99958900000007,231.00002069999996,402.00022,219.00011,305.99942,224.99964899999998,220.99990786748097
1,3,0.835594,0,0,0,1.94186,0
0,0,0,0,0,0,0,0
4.67,9.46929,4.48238,4.41879,1.21532,9.9893,3.04348,8.88494
0.436178,32.99877,1.7691394999999999,2.6631746,0.00579373,1.0914482,2.57663714,1.7027487000000001
4.82741,4.82741,1,6.0000100000000005,13.96028480153,19.000031,16.39623,13.00000228
21.728279999999998,13.67696,29.45516,29.38268,3.8057299999999996,20.36172,9.445739999999999,21.36878
5.000003473211001,6.9999963,2.656168,10,0,1.8287259999999999,4.925877,5.005781000000001
58.000001,87.45813099999998,54.560840000000006,92.197723,70.694114,87.699812,57.892784,38.665991000000005
12.4036,16.44493,10.877735799999998,4.62898,10.22248,16.1076,7.50609,13.22246
6.9273,5.9828900133939005,0.604699,7.5094,0,0,9.61509,0.0738308
90.31980999999999,126.193745435301,114.95318,107.23271,42.5039,76.9374,108.99994999999998,51.054
17.336303,30.999979999999997,23.2737,20.989081000000002,25.7129,54.5541,56.129979999999996,26.6205
9.051399,36.72454,27.86075,45.3202,44.60003,107.59457000000002,44.24297,55.847565
13.000002,29.024033000000003,7.01394,26.964820000000003,56.452900475166,64.53160000000001,60.27445,56.69153
24.295786,34.28284,23.698808,49.9197,14.499868000000001,32.652049999999996,20.652050000000003,26.195501999999998
38.0000503255,49.999943900199995,29.999966,58.393618159,7.9999978142999995,6.132931473,8.999993385699998,7.000002
3.10584178,8.576241010903699,1.0494162631200001,69.882458,5.5585413,6.0417480999999995,14.5749176,68.94210100000001
0,1,0,2,0.863069,0,1,0.931535
722.9049400245996,969.5743800000002,780.999445,1219.0987407972998,266.0757,436.99990858,368.999839,291.00209
74.50534330539998,218.36968299999995,146.27820999999997,106.91386222,82.54681846219998,66.2428184,104.46524501109771,48.386670403732005
0,0,0,0,24,0,0,0
149.000005,222.027518,164.99995800000002,233.37574351962797,210.3611069943,300.2253599999999,230.014255,233.999974
48,50.636993,53,34.7001622,42.740469000000004,48.50634600000001,64.5114482,81.00001999999999
2.17155,0,2.181901,4.242279,1.51268,0.51293428,2.88442,0.366482
78.89617,97.95453,67.924,120.57678999999999,66.05905,103.02099,82.447900311374,72.13493
64.28990999999999,124.24695,107.58798999999999,225.29617,123.72146,181.5762,161.44588,155.79607299999998
