Treated1_SE,Treated2_SE,Treated3_SE,Treated4_SE,Untreated1_SE,Untreated2_SE,Untreated3_SE,Untreated4_SE
7.08799,14.0034,29.2553,25.7885,23.5497,44.8132,13.4628,0
48.993700000000004,50.6555,30.41133,47.655499999999996,65.43202,129.51481,130.80651,77.47123
36.6709,41.7274,28.1431,52.269,7.72124,8.40156,5.95404,15.5802
0.809041,4,0.553722,0.802243,4,0,2,4.999998
142.42293,144.9239,108.11843999999999,201.9132,114.26375000000002,211.53964000000002,164.96066900000002,133.96344
0.331361,0.5,0,0,0,1.116355,0.277004,0
0,0,0,0,8,3.9817,0,0
0,0,0,0,0,0,0,0
371.60152999999997,343.81139,259.5564,548.5197999999999,275.9048,400.893,299.65360999999996,257.95524
277.824667,295.76480027209396,112.6667421855,377.125455470346,204.97242999999997,235.840641808053,172.00736149210204,132.96784
0,0,0,0,0,0,0,0
25.46584,35.88551999999999,1.873156,44.22627000000001,5.86761,16.572887,22.356106999999994,26.41137
61.19511,52.808,25.1988,89.4611,42.29756,102.87621999999999,22.4544,21.5823
46.500124,91.11339000000001,17.102615,40.549620564,47.193039999999996,102.97550318831001,71.14569300000001,85.99996
1,0,4.825119027,0.47021900000000005,1,0.9999995935259,0,1
70.09704,68.51742999999999,70.72258000000001,159.75359,17.53218505056,58.06539,61.03881,34.717
0,0,0,1,1,1,1,0
3.92524,13.4686,6.83317,11.84674,4.4336000352052,4.86485,7.918324999999999,3.21088
18.86101,23.40021,22.42626,28.74813,13.13059,22.25062,17.72202,12.66978
16.1528,10.413,0,23.1684,0,7.26585,14.0751,0
0,7,2.2094,0,0,0,0,2.2094
1.9999953965000001,1,3.0000012689,4.0000004712,9.0000099148,21.000042,15.000036548,14.000002613
0.8033522422999999,2.12594,0.174341,0.842607,2.7445527,8.240682,1,5.11233
9.51684,5.216947,1.268097342,7.630172,3.2290980284916,10.9892599,10.0000033,4.71339
0,0,1.16469,0,0,0.374981,0.170475,0.305535
17.99998,17.00003,5,20.99998,5,13.99998,9,9
0,0,0,0,0,0,0,0
62.24952,98.81432000000001,76.0179,89.14102,30.9566743,37.299366,28.233308,28.978114
11.396300844438,2.2086423,1.6743,1.77434,0,0,0,0
13.999999786200002,29.99996,8,21,34.00007,56.000069999999994,41.000009999999996,50.000060000000005
9,13.99998,6,7.8142,15.608709999999999,42.000049999999995,19,31
0,5.10074,1.47629,2.45303,6.126189999999999,3.94299,1.41449,1.4715
1.04191,0,0,0,5.52074,6.16806,9.59289,24.52072
0,0,1,0,0,0,0,0
9.91475,4.09489,3.38371,5.87692,10.35938,1.99283,1.9775,2.04968
53.81400000000001,40.653999999999996,45.26818,85.96209999999999,23.13763,56.47788,49.982699999999994,67.128162
40.32739,33.302088,11.92883,84.38566999999999,33.64646,25.88351,22.4327378,14.7277
5.027451,11.60718,12.752020000000002,9.37419,3.9161189999999997,0.958643,4.72616,7.02428
